ean,desc,marca,rubro,cat,slot,cad,prov,suc,precio,Popular,Media,Ejecutiva,Tecnológica,Representativa,Femenina
7792798003716,Cerveza en Botella No Retornable Corona 710 Cc,Corona,Bebidas,Cerveza,Cerveza,5,24,2337,7482.5,0.0,0.0,6.0,0.0,0.0,0.0
7790895000997,Coca Cola Sabor Original 2.25 Lt,Coca Cola,Bebidas,Gaseosas,Gaseosa cola,5,23,2219,5818.75,0.0,5.0,6.0,0.0,5.0,0.0
7790895067570,Coca Cola sin Azúcar 2.25 Lt,Coca Cola,Bebidas,Gaseosas,Gaseosa cola zero,5,24,2243,5818.75,0.0,0.0,3.0,0.0,0.0,0.0
7791813888468,Gaseosa Cola Pepsi 2 Lt,Pepsi,Bebidas,Gaseosas,Gaseosa cola,5,24,2475,4550.0,4.0,0.0,0.0,0.0,0.0,0.0
7790639003468,Gaseosa Lima Limón Classic Cunnington 2.25 Lt,Cunnington,Bebidas,Gaseosas,Gaseosa lima-limon,5,24,2201,2750.0,2.0,0.0,0.0,0.0,0.0,0.0
7790895001017,Gaseosa Naranja Fanta 2.25 Lt,Fanta,Bebidas,Gaseosas,Gaseosa naranja/pomelo,5,24,2467,5818.75,0.0,2.0,2.0,0.0,2.0,0.0
7790895001000,Gaseosa Sprite 2.25 Lt,Sprite,Bebidas,Gaseosas,Gaseosa lima-limon,5,24,2508,5818.75,0.0,2.0,3.0,0.0,2.0,0.0
7790895640025,Bebida Isotónica Mountain Blast Powerade 500 Ml,Powerade,Bebidas,Isotónicas y Energizantes,Energizante/isotonica,5,24,2693,2200.0,0.0,0.0,4.0,0.0,0.0,0.0
7790895000737,Jugo Listo Multifruta Cepita 200 Ml,Cepita,Bebidas,Jugos,Jugo listo,5,24,2683,1300.0,0.0,3.0,4.0,0.0,3.0,0.0
7622201735685,Jugo en Polvo Sabor Limón Dulce Tang 15 Gr,Tang,Bebidas,Jugos,Jugo en polvo,5,24,2282,550.0,6.0,6.0,2.0,0.0,6.0,0.0
7790240002010,Vino Tinto Cabernet Sauvignon Fond de Cave 750 Cc,Fond De Cave,Bebidas,Vinos y Espumantes,Vino,5,24,2413,11233.0,0.0,0.0,3.0,0.0,0.0,0.0
7798074864675,Vino Tinto Malbec Portillo 750 Ml,Portillo,Bebidas,Vinos y Espumantes,Vino,5,24,2481,6836.3125,0.0,2.0,0.0,0.0,2.0,0.0
7791540053351,Vino Tinto Tradicional Brick Termidor 1 Lt,Termidor,Bebidas,Vinos y Espumantes,Vino,5,24,2135,2257.0,2.0,0.0,0.0,0.0,0.0,0.0
7500435228763,Pañal Talle XG Baby-dry Hipoalergénico Pampers 36 Un,Pampers,Bebés y mamás,Cuidado del Bebé,Panales,5,24,2069,35500.0,0.0,1.0,1.0,0.0,1.0,0.0
7794626011023,Toallitas Húmedas Clásico y Cotidiano Huggies 48 Un,Huggies,Bebés y mamás,Cuidado del Bebé,Toallitas humedas,5,24,2475,4969.0,0.0,1.0,1.0,0.0,1.0,0.0
7796962987321,Aire Acondicionado Philco Split 3200W Frio Calor Cl. A Phs32Ha4Cn Philco,Philco,CLIMATIZACIÓN,Aires Acondicionados,Aire acondicionado,5,24,296,799999.0,0.0,0.0,0.0,1.0,0.0,0.0
