necesidad,canasta,ean,desc,marca,rubro,categoria,subcategoria,unidad_fisica,qty_fisica,presentacion,cantidad,precio_unitario,precio_envase,cadenas,provincias,sucursales,cba,confiable
Mayonesa,Popular,7794000007109,Mayonesa Liviana sin TACC Doypack Hellmann's 475 Gr,Hellmann's,Almacén,Aderezos,Mayonesas,kg,0.3,0.475,0.5,5315.8,2525.0,4,24,2361,Condimentos,True
Mayonesa,Media,7794000006058,Mayonesa Clásica Doypack Hellmanns 950 Gr,Hellmanns,Almacén,Aderezos,Mayonesas,kg,0.45,0.95,0.5,6209.5,5899.0,4,24,2285,Condimentos,True
Mayonesa,Ejecutiva,7794000007093,Mayonesa Liviana sin TACC Doypack Hellmann's 237 Gr,Hellmann's,Almacén,Aderezos,Mayonesas,kg,0.6,0.237,2.5,7168.8,1699.0,4,24,2361,Condimentos,True
Mayonesa,Representativa,7791866001364,Mayonesa Doypack Natura 500 Ml,Natura,Almacén,Aderezos,Mayonesas,kg,0.35,0.5,0.5,6080.0,3040.0,5,24,2503,Condimentos,True
Vinagre,Popular,7790130000058,Vinagre de Alcohol Menoyo 1 Lt,Menoyo,Almacén,Aderezos,Vinagre,kg,0.2,1.0,0.5,1965.0,1965.0,5,24,2306,Vinagre,True
Vinagre,Media,7790139003173,Vinagre de Alcohol Clásico Casalta 1 Lt,Casalta,Almacén,Aderezos,Vinagre,kg,0.2,0.5,0.5,3643.8,1821.9,5,24,999,Vinagre,True
Vinagre,Ejecutiva,7790130000027,Vinagre de Manzana Menoyo 500 Cc,Menoyo,Almacén,Aderezos,Vinagre,kg,0.2,0.5,0.5,5050.0,2525.0,5,24,2129,Vinagre,True
Vinagre,Representativa,7790130000034,Vinagre de Alcohol Menoyo 500 Cc,Menoyo,Almacén,Aderezos,Vinagre,kg,0.18539999999999998,0.5,0.5,2800.0,1400.0,5,24,2264,Vinagre,True
Yerba mate,Popular,7790070507280,Yerba Mate Selección Nobleza Gaucha 1 Kg,Nobleza Gaucha,Almacén,Infusiones,Yerbas,kg,2.0,1.0,2.0,3990.2,3990.2,4,24,2345,Yerba,True
Yerba mate,Media,7793704000928,Yerba Suave Playadito 1 Kg,Playadito,Almacén,Infusiones,Yerbas,kg,1.7,1.0,1.5,5072.5,5072.5,5,24,2426,Yerba,True
Yerba mate,Ejecutiva,7790387013627,Yerba Mate con Palo 4Flex Taragui 500 Gr,Taragui,Almacén,Infusiones,Yerbas,kg,1.3,0.5,2.5,5786.0,2893.0,4,23,2248,Yerba,True
